e,E,s,k
kline,1703897012086,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098114, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '17.779', 'n': 318, 'x': False, 'q': '749870.39770', 'V': '6.491', 'Q': '273760.32110', 'B': '0'}"
kline,1703897012504,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098116, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '18.302', 'n': 320, 'x': False, 'q': '771927.19050', 'V': '6.491', 'Q': '273760.32110', 'B': '0'}"
kline,1703897012656,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189400, 'o': '2304.80', 'c': '2304.43', 'h': '2304.80', 'l': '2304.23', 'v': '239.720', 'n': 318, 'x': False, 'q': '552411.48253', 'V': '154.928', 'Q': '357004.16613', 'B': '0'}"
kline,1703897012920,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189401, 'o': '2304.80', 'c': '2304.43', 'h': '2304.80', 'l': '2304.23', 'v': '239.738', 'n': 319, 'x': False, 'q': '552452.96227', 'V': '154.928', 'Q': '357004.16613', 'B': '0'}"
kline,1703897013793,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124029981, 'o': '313.980', 'c': '314.110', 'h': '314.120', 'l': '313.950', 'v': '337.99', 'n': 297, 'x': False, 'q': '106138.41960', 'V': '148.90', 'Q': '46760.33000', 'B': '0'}"
kline,1703897013881,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189463, 'o': '2304.80', 'c': '2304.41', 'h': '2304.80', 'l': '2304.23', 'v': '241.517', 'n': 381, 'x': False, 'q': '556552.53763', 'V': '154.928', 'Q': '357004.16613', 'B': '0'}"
kline,1703897014284,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098117, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '18.332', 'n': 321, 'x': False, 'q': '773192.39850', 'V': '6.491', 'Q': '273760.32110', 'B': '0'}"
kline,1703897014371,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124029982, 'o': '313.980', 'c': '314.110', 'h': '314.120', 'l': '313.950', 'v': '338.05', 'n': 298, 'x': False, 'q': '106157.26620', 'V': '148.96', 'Q': '46779.17660', 'B': '0'}"
kline,1703897014764,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124029983, 'o': '313.980', 'c': '314.100', 'h': '314.120', 'l': '313.950', 'v': '338.07', 'n': 299, 'x': False, 'q': '106163.54820', 'V': '148.96', 'Q': '46779.17660', 'B': '0'}"
kline,1703897014781,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189464, 'o': '2304.80', 'c': '2304.41', 'h': '2304.80', 'l': '2304.23', 'v': '241.526', 'n': 382, 'x': False, 'q': '556573.27732', 'V': '154.928', 'Q': '357004.16613', 'B': '0'}"
kline,1703897014866,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098118, 'o': '42181.40', 'c': '42173.70', 'h': '42181.40', 'l': '42171.70', 'v': '18.335', 'n': 322, 'x': False, 'q': '773318.91960', 'V': '6.494', 'Q': '273886.84220', 'B': '0'}"
kline,1703897015390,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189466, 'o': '2304.80', 'c': '2304.41', 'h': '2304.80', 'l': '2304.23', 'v': '244.326', 'n': 384, 'x': False, 'q': '563025.64532', 'V': '156.928', 'Q': '361613.00613', 'B': '0'}"
kline,1703897015430,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124029985, 'o': '313.980', 'c': '314.110', 'h': '314.120', 'l': '313.950', 'v': '341.04', 'n': 301, 'x': False, 'q': '107096.45490', 'V': '151.93', 'Q': '47712.08330', 'B': '0'}"
kline,1703897015803,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030018, 'o': '313.980', 'c': '314.130', 'h': '314.160', 'l': '313.950', 'v': '373.27', 'n': 334, 'x': False, 'q': '117220.91460', 'V': '184.05', 'Q': '57801.98870', 'B': '0'}"
kline,1703897015845,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189478, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '303.854', 'n': 396, 'x': False, 'q': '700202.55444', 'V': '157.000', 'Q': '361778.91429', 'B': '0'}"
kline,1703897015970,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098120, 'o': '42181.40', 'c': '42173.70', 'h': '42181.40', 'l': '42171.70', 'v': '18.382', 'n': 324, 'x': False, 'q': '775301.08350', 'V': '6.541', 'Q': '275869.00610', 'B': '0'}"
